Email,Contact Name,Phone Number,Residence Name,Organization Name,Stage,Location,County,NARR Level,Cert Date or Last Contact Date,Interviewer,unused,Notes
abramevah@gmail.com,Abram Haesemeyer,(608) 556-9394,OXFORD HOUSE HELGELAND,Oxford House Inc.,,MADISON,DANE,,,,,
jforster789@gmail.com,Jordan Forster,(608) 931-1836,OXFORD HOUSE TRITT,Oxford House Inc.,,MADISON,DANE,,,,,
jalateefa@sankofarecovery.org,Jalateefa Joe-Meyers,(608) 618-9977,PARINATAL AND PREGNANCY RECOVERY HOME,Sankofa Recovery Center,,MADISON,DANE,,,,,
elicia@serenitysoberliving.org,Elicia Casey,(608) 333-6453,SERENITY HOMES SOBER LIVING,Serenity Homes,,MADISON,DANE,,,,,
mirzo@soberlivinginmadison.com,Mirzo Khashimov,(605) 520-7142,SOBER LIVING IN MADISON,Sober Living In Madison,,MADISON,DANE,,,,,
help@thebetterpath.org,Julie Rivchin,(608) 721-4000,THE BETTER PATH FOUNDATION INC,"The Better Path Foundation, Inc.",,MADISON,DANE,,,,,
help@thebetterpath.org,Julie Rivchin,(608) 721-4000,"THE BETTER PATH FOUNDATION, INC. 2","The Better Path Foundation, Inc.",,MADISON,DANE,,,,,
jalateefa!@sankofarecovery.org,Jalateefa Joe-Myers,(608) 618-9977,YOUTH - SAFE AT HOME,Sankofa Recovery Center,,MADISON,DANE,,,,,
info@anchorsoberliving.org,Brenna Diab,(608) 205-7942,ANCHOR SOBER LIVING,Anchor Sober Living Llc,,STOUGHTON,DANE,,,,,
bridgesrecoveryhomes@gmail.com,Karen Tomko,(920) 382-0946,JOES HOUSE,Bridges Of Doges County Inc,,BEAVER DAM,DODGE,,,,,
newdoorslh@gmail.com,Angela M Levens,(920) 559-1210,NEW DOOR SOBER LIVING CORP,New Door Sober Living Corp,,STURGEON BAY,DOOR,,,,,
emilymack.highlands@proton.me,Emily Mack,(218) 409-6731,HIGHLANDS RESTORATION AND WELLNESS LLC,"Highlands Restoration And Wellness, Llc",,SUPERIOR,DOUGLAS,,,,,
onyxsoberliving@gmail.com,Julie Smith,(715) 245-1275,ONYX 1027,Onyx Sober Living,,MENOMONIE,DUNN,,,,,
onyxsoberliving@gmail.com,Julie Smith,(715) 245-1275,ONYX 1620,Onyx Sober Living,,MENOMONIE,DUNN,,,,,
info@ecsoberliving.com,Michelle Markquart,(800) 989-3068,EAU CLAIRE SOBER LIVING - RAVEN HOUSE,Eau Claire Sober Living,,EAU CLAIRE,EAU CLAIRE,,,,,
info@ecsoberliving.com,Michelle Markquart,(800) 989-3068,EAU CLAIRE SOBER LIVING,Eau Claire Sober Living,,EAU CLAIRE,EAU CLAIRE,,,,,
ourdwellingplace.ec@gmail.com,Lydia Bethmann,(715) 319-1082,OUR DWELLING PLACE,Our Dwelling Place,,EAU CLAIRE,EAU CLAIRE,,,,,
info@ecsoberliving.com,Jenni Sterling,(800) 989-3068,RAVEN HOUSE,Eau Claire Sober Living,,EAU CLAIRE,EAU CLAIRE,,,,,
brianna.albers@eauclairecounty.gov,Brianna Albers,(715) 450-6167,RICK HOUSE,Eau Claire County Dhs,,EAU CLAIRE,EAU CLAIRE,,,,,
brianna.albers@eauclairecounty.gov,Brianna Albers,(715) 450-6167,RICK HOUSE,Eau Claire County Dhs,,EAU CLAIRE,EAU CLAIRE,,,,,
info@ecsoberliving.com,Jenni Sterling,(800) 989-3068,ROSE HOUSE,Eau Claire Sober Living,,EAU CLAIRE,EAU CLAIRE,,,,,
Waltonrecoveryhouseformen276@gmail.com,Timothy St. John,(920) 238-9651,WALTON RECOVERY HOUSE FOR MEN,Walton Recovery House For Men,,FOND DU LAC,FOND DU LAC,,,,,
houseofhope.gcwi@gmail.com,Madison Bezik,(608) 426-2725,GREEN COUNTY HOUSE OF HOPE,"Sw Cap, Green County House Of Hope",,MONROE,GREEN,,,,,
recovery@swcap.org,Sheryl Brokopp,(608) 935-2326,SWCAP OPPORTUNITY HOUSE,Swcap/Recovery Pathway Program/Opportunity House,,DODGEVILLE,IOWA,,,,,
,Ruth A Garvin,(715) 284-0764,HOSTOPI HOCI,Ho-Chunk Nation,,BLACK RIVER FALLS,JACKSON,,,,,
davegallupfoundation@gmail.com,Suzanne Madecky,(262) 470-8269,CEDAR HOUSE WOMENS SOBER LIVING,Dave Gallup Foundation,,FORT ATKINSON,JEFFERSON,,,,,
insideouttransitionalhousing@gmail.com,Raelynn Bires,(608) 472-1284,INSIDE OUT TRANSITIONAL HOUSING LLC,Sch Llc. (Second Chance Houseing Llc),,MAUSTON,JUNEAU,,,,,
kcampion@correctionalservices.org,Karla Campion,(920) 980-9757,ATTIC CORRECTIONAL SERVICES INC #1,"Attic Correctional Services, Inc",,LA CROSSE,LA CROSSE,,,,,
,Brett Knutson,(608) 519-5906,DRIFTLESS HOUSING SERVICES,Driftless Recovery Inc,,LA CROSSE,LA CROSSE,,,,,
tkellner@norcen.org,Toni Kellner,(715) 514-3115,HOPE HOUSE ANTIGO,North Central Health Care,,ANTIGO,LANGLADE,,,,,
sbeattie@pathwaystoabetterlife.com,Susan Beattie,(920) 894-1374,PATHWAYS SOBER LIVING - MEN,Pathways To A Better Life,,KIEL,MANITOWOC,,,,,
sbeattie@pathwaystoabetterlife.com,Susan Beattie,(920) 894-1374,PATHWAYS SOBER LIVING - WOMEN,Pathways To A Better Life,,KIEL,MANITOWOC,,,,,
hardimanbeverly1@yahoo.com,Beverly Hardiman,(414) 207-3388,FAITH LIVING ADULT FAMILY HOME 1 LLC,Faith And Living Adult Family Home 1 & 2 Llc,,MANITOWOC,MANITOWOC,,,,,
hardimanbeverly1@yahoo.com,Beverly Hardiman,(414) 207-3388,FAITH LIVING ADULT FAMILY HOME 2,Faith And Living Adult Family Home 1 & 2 Llc,,MANITOWOC,MANITOWOC,,,,,
beth.snyder@lighthousercc.org,Christma M. Rusch,(920) 374-4433,HORIZONS,"Lighthouse Recovery Community Center, Inc",,MANITOWOC,MANITOWOC,,,,,
,Carmen Persaud,(920) 645-8359,LAKE ST TRANSITIONAL RECOVERY HOUSING,Core Treatment Services Inc,,MANITOWOC,MANITOWOC,,,,,
,Carmen Persaud,(920) 645-8359,LAKE ST TRANSITIONAL RECOVERY HOUSING,Core Treatment Services Inc,,MANITOWOC,MANITOWOC,,,,,
beth.snyder@lighthousercc.org,Beth A. Snyder,(920) 374-4433,LOFTS ON 11TH,"Lighthouse Recovery Community Center, Inc",,MANITOWOC,MANITOWOC,,,,,
beth.snyder@lighthouserrc.org,Beth A. Snyder,(920) 374-4433,LOFTS ON MARSHALL,"Lighthouse Recovery Community Center, Inc",,MANITOWOC,MANITOWOC,,,,,
lotusrecoveryhomes@gmail.com,Terry Bosch,(920) 717-5107,LOTUS RECOVERY HOMES - 408 LAKE,Lotus Recovery Homes Inc,,MANITOWOC,MANITOWOC,,,,,
lotusrecoveryhomes@gmail.com,Terry Bosch,(920) 717-5107,LOTUS RECOVERY HOMES - 419 PARK,Lotus Recovery Homes Inc,,MANITOWOC,MANITOWOC,,,,,
lotusrecoveryhomes@gmail.com,Terry Bosch,(920) 717-5107,LOTUS RECOVERY HOMES INC - 404 LAKE,Lotus Recovery Homes Inc,,MANITOWOC,MANITOWOC,,,,,
lotusrecoveryhomes@gmail.com,Terry Bosch,(920) 717-5107,LOTUS RECOVERY HOMES INC - 406 LAKE,Lotus Recovery Homes Inc,,MANITOWOC,MANITOWOC,,,,,
lotusrecoveryhomes@gmail.com,Terry Bosch,(920) 717-5107,LOTUS RECOVERY HOMES-MARSHALL STREET,Lotus Recovery Homes Inc,,MANITOWOC,MANITOWOC,,,,,
RecoveRay81821@gmail.com,Ray Green,(920) 242-1484,RESTORATION RECOVERY HOUSE 2,Restoration Recovery Llc,,MANITOWOC,MANITOWOC,,,,,
RecoveRay@gmail.com,Ray Green,(920) 242-1484,RESTORATION RECOVERY HOUSE 3,Restoration Recovery Llc,,MANITOWOC,MANITOWOC,,,,,
recoveray81821@gmail.com,Ray Green,(920) 242-1484,RESTORATION RECOVERY HOUSE,Restoration Recovery Llc,,MANITOWOC,MANITOWOC,,,,,
,Toni Kellner,(715) 298-0982,HOPE HOUSE WAUSAU,North Central Health Care,,WAUSAU,MARATHON,,,,,
,Tanya Cummings,(414) 276-2027,NOVA HOUSE,Wisconsin Community Services,,BROWN DEER,MILWAUKEE,,,,,
411rebirth@gmail.com,Francine Bearden,(262) 349-8469,411 REBIRTH,411 Rebirth,,MILWAUKEE,MILWAUKEE,,,,,
getfree@4thdimensionsobriety.com,Jason Gonzalez,(414) 617-3917,4TH DIMENSION SOBRIETY,4Th Dimension Recovery,,MILWAUKEE,MILWAUKEE,,,,,
5loaves2fishSLH@gmail.com,Bryan Winters,(414) 722-1064,5 LOAVES & 2 FISH SLH,Project Re-Connect Mk.E Llc D.B.A 5 Loaves & 2 Fis,,MILWAUKEE,MILWAUKEE,,,,,
ADRecoveryhouse@gmail.com,Acelia Jackson,(214) 552-4493,A & D RECOVERY HOUSE,A & D Recovery House,,MILWAUKEE,MILWAUKEE,,,,,
arhomes@gmail.com,Frederick And Danielle Ph,(262) 617-5018,ADA'S ROOTS HOUSING LLC 2,Ada'S Roots Housing Llc,,MILWAUKEE,MILWAUKEE,,,,,
adasroots@gmail.com,Ada Phillips,(262) 617-5018,"ADA'S ROOTS HOUSING, LLC","Ada'S Roots Housing, Llc",,MILWAUKEE,MILWAUKEE,,,,,
bland@advancedsupportiveliving.com,James Bland,(414) 418-4410,ADVANCED SUPPOTIVE LIVING RECOVERY HOUSE 1,Advanced Suppotive Living,,MILWAUKEE,MILWAUKEE,,,,,
gideysara34@gmail.com,Sara Gabremraiam,(414) 241-2887,ALL-IN-ONE SOBER LIVING,All-In-One Sober Living,,MILWAUKEE,MILWAUKEE,,,,,
Besydrik93@gmail.com,Besydrik Blackmon,(414) 367-8585,AUER SOCIAL LIVING,Auer Social Living,,MILWAUKEE,MILWAUKEE,,,,,
williamronald502@gmail.com,Ronald Grant,(414) 202-7956,BETTER LIVING INVESTMENTS,Matt Talbot Recovery Services,,MILWAUKEE,MILWAUKEE,,,,,
BetterThanHomeLLC l@yahoo.com,Zahaneane Johnson,(414) 795-6448,BETTER THAN HOME LLC,Better Than Home Llc,,MILWAUKEE,MILWAUKEE,,,,,
phillips.keianna@yahoo.com,Keianna Phillips,(414) 254-5078,BLENDED LIVING LLC,Blended Living Llc,,MILWAUKEE,MILWAUKEE,,,,,
englisht@dorothysplaceofcare.com,Tytiona English-Sykes,(414) 239-0635,DOROTHYS PLACE OF CARE RECOVERY,Dorothys Place Of Care Recovery Llc,,MILWAUKEE,MILWAUKEE,,,,,
eternallovellc@yahoo.com,Teanna Robinson,(262) 933-4020,ETERNAL LOVE HOUSING,Eternal Love Housing,,MILWAUKEE,MILWAUKEE,,,,,
Excelladult@yahoo.com,Leslie Moore,(414) 467-9959,EXCELL ADULT LIVING LLC,"Excell Adult Living, Llc",,MILWAUKEE,MILWAUKEE,,,,,
contact@foundations4 freedom .org,Dana World-Patterson,(414) 698-4187,FOUNDATIONS FOR FREEDOM INC,"Foundations For Freedom, Inc.",,MILWAUKEE,MILWAUKEE,,,,,
april@alcamiproject.org,April Luderus,(414) 721-1396,GRACE HOUSE,"Alcami Project, Inc.",,MILWAUKEE,MILWAUKEE,,,,,
gratefulgirlsyfs@gmail.com,Chandra Yvonne Cooper,(414) 813-8076,GRATEFUL LIVING HOUSE,"Grateful Girls Youth& Family Services, Llc.",,MILWAUKEE,MILWAUKEE,,,,,
immonique43@icloud.com,Sylvia Evans,(414) 379-7130,HELPING HAND WITH BIG HEARTS,Helping Hand With Big Heart'S,,MILWAUKEE,MILWAUKEE,,,,,
tinymiracles20@gmail.com,Bianca Williams,(414) 687-5731,HELPING OTHER PEOPLE ELEVATE INC,Helping Other People Elevate Inc.,,MILWAUKEE,MILWAUKEE,,,,,
homeliifecareal@gmail.com,Markesha Northern,(414) 949-6865,HOME LIFE RECOVERY,Home Life Recovery,,MILWAUKEE,MILWAUKEE,,,,,
jcarerecoveryllc@gmail.com,Sharlee Chappell,(414) 410-9927,I CARE RECOVERY LLC,I Care Recovery Llc,,MILWAUKEE,MILWAUKEE,,,,,
Kennedyhomesmke@gmail.com,Dr. Shajuan Kennedy,(414) 399-8736,KENNEDY HOMES 2,Kennedy Homes Llc,,MILWAUKEE,MILWAUKEE,,,,,
kennedyhomesmke@gmail.com,Shajuan Kennedy,(414) 399-8736,KENNEDY HOMES LLC,Kennedy Homes Llc,,MILWAUKEE,MILWAUKEE,,,,,
,Kiandra Lewis,(414) 899-5252,KIANDRA LEWIS,House Of Restoration And Support Living,,MILWAUKEE,MILWAUKEE,,,,,
"legacysobriety@yahoo,com",Shenicqua Billings Troupe,(414) 336-1790,LEGACY SOBRIETY AND RECOVERY LLC,Legacy Sobriety And Recovery Inc.,,MILWAUKEE,MILWAUKEE,,,,,
LREInfo@LifeRecoveryEssentials.com,Laquanda Brown,(414) 369-1086,LIFE RECOVERY ESSENTIALS,Life Recovery Essentials,,MILWAUKEE,MILWAUKEE,,,,,
LILLYGARDENSHOME@GMAIL.COM,Toni Eskridge,(414) 238-5006,LILLY GARDENS LLC,Lilly Gardens Llc,,MILWAUKEE,MILWAUKEE,,,,,
livingwellwithlove@yahoo.com,Rickey Roach,(262) 307-5497,LIVING WELL AT HOME WITH LOVE - 55TH STREET,Living Well With Love At Home,,MILWAUKEE,MILWAUKEE,,,,,
livingwellwithlove@yahoo.com,Rickey Roach,(414) 766-8272,LIVING WELL RECOVERY HOUSE LOWER,Living Well Healthcare,,MILWAUKEE,MILWAUKEE,,,,,
livingwellwithlove@yahoo.com,Rickey Roach,(414) 766-8072,LIVING WELL RECOVERY HOUSE UPPER,Living Well Healthcare,,MILWAUKEE,MILWAUKEE,,,,,
livingwellhhc@yahoo.com,Rickey Roach,(414) 766-8072,LIVING WELL WITH LOVE LLC,Living Well With Love Llc,,MILWAUKEE,MILWAUKEE,,,,,
livingwellhhc@yahoo.com,Ricky Roach,(414) 766-8072,LIVING WELL WITH LOVE LLC,"Living Well With Love, Llc",,MILWAUKEE,MILWAUKEE,,,,,
love and Recoveryllc@gmail.com,Charlee Chappel,(414) 791-7491,LOVE AND RECOVERY LLC,Love Care And Recovery Llc,,MILWAUKEE,MILWAUKEE,,,,,
lovecareandrecovery@gmail.com,Annette Young,(414) 839-8275,LOVE CARE AND RECOVERY LLC,Love Care And Recovery Llc,,MILWAUKEE,MILWAUKEE,,,,,
lovewithapurposemke@gmail.com,Tamira Major,(262) 458-8431,LOVE WITH A PURPOSE RECOVERY,Love With A Purpose Recovery Llc,,MILWAUKEE,MILWAUKEE,,,,,
mabellshouseofpeace@gmail.com,Gloria Piphus,(414) 406-6710,MA BELL'S HOUSE OF PEACE INC.,Ma Bell'S House Of Peace Inc.,,MILWAUKEE,MILWAUKEE,,,,,
info@makingroommke.com,Whitney Amos-Sikora,(262) 228-4401,MAKING ROOM LLC,Making Room Llc,,MILWAUKEE,MILWAUKEE,,,,,
chiquita_lewis@att.net,Chiquita Lewis,(414) 640-1042,MARYANN ADULT FAMILY HOME LLC,Maryann Adult Family Home Llc,,MILWAUKEE,MILWAUKEE,,,,,
,Sarah Joyce,(414) 962-1200,META HOUSE,Meta House,,MILWAUKEE,MILWAUKEE,,,,,
mistymartin336@gmail.com,Misty R Martin,(414) 406-9386,MISTY R MARTIN,Project Heat,,MILWAUKEE,MILWAUKEE,,,,,
nettiesplacerecovery@icloud.com,Keyaira Kurte' Brown,(414) 242-5506,NETTIES PLACE OF RECOVERY LLC,Nettie'S Place Of Recovery Llc,,MILWAUKEE,MILWAUKEE,,,,,
Newcarefamilyhouse@gmail.com,Joanne Turene,(262) 794-6525,NEW CARE RECOVERY,New Care Recovery,,MILWAUKEE,MILWAUKEE,,,,,
nukscare720@gmail.com,Deandre Johnson,(414) 712-5360,NUKS CARE 720 LLC,Nuks Care 720 Llc,,MILWAUKEE,MILWAUKEE,,,,,
ourlegacycare@mail.com,Felicia Crittenden,(414) 436-1999,OUR LEGACY SOBER HOMES,Our Legacy Sober Homes,,MILWAUKEE,MILWAUKEE,,,,,
andy@oursafeplace.org,Andrew Liss,(414) 933-7689,OUR SAFE PLACE-HIGHLAND,"Our Safe Place, Inc.",,MILWAUKEE,MILWAUKEE,,,,,
andy@oursafeplace.org,Andrew Liss,(414) 933-7689,OUR SAFE PLACE,Our Safe Place Inc,,MILWAUKEE,MILWAUKEE,,,,,
robertdiggins@yahoo.com,Robert Diggins,(414) 342-5959,PROJECT HEAT,Our Safe Place Inc,,MILWAUKEE,MILWAUKEE,,,,,
qualitlivingal@gmail.com,Tanesha Edwards,(414) 388-2992,QUALITY LIVING RECOVERY LLC,Quality Living Recovery Llc,,MILWAUKEE,MILWAUKEE,,,,,
octavia@mybalancedcare.org,Octavia Manuel-Wright,(414) 376-8830,REBALANCE HOUSE,Balanced Health And Wellness,,MILWAUKEE,MILWAUKEE,,,,,
bthompson1596@gmail.com,Byron Thompson,(414) 460-5372,REBOUND RECOVERY HOUSE LLC,Rebound,,MILWAUKEE,MILWAUKEE,,,,,
recoveryrus35@gmail.com,Kadeidra Moore,(262) 744-9176,RECOVERY R US LLC,Recovery R Us Llc,,MILWAUKEE,MILWAUKEE,,,,,
diamondjohnson9@yahoo.com,Ladiama Johnson,(414) 915-6323,ROYAL LEGACY MANAGEMENT GROUP,Royal Legacy Management Group,,MILWAUKEE,MILWAUKEE,,,,,
samadsoberhouse@gmail.com,Tahira Mack,(414) 595-6501,SAMADS HOUSE CORP,Samads House Corp,,MILWAUKEE,MILWAUKEE,,,,,
,Torre Johnson,(414) 539-5609,SANKOFA HOUSE,"Wisconsin Community Services, Inc",,MILWAUKEE,MILWAUKEE,,,,,
PLACE191@OUTLOOK.COM,Dorothy R. Mccollum,(414) 630-4896,SAVING OPHELIA,"One-Nine Youth & Family Services, Llc",,MILWAUKEE,MILWAUKEE,,,,,
jdobson@serenityinns.org,Jason Dobson,(414) 873-5474,SERENITY INNS ALIMNI HOUSE,Serenity Inns Inc,,MILWAUKEE,MILWAUKEE,,,,,
jdobson@serenityinns.org,Kenneth Ginlack,(414) 873-5474,SERENITY INNS,Serenity Inns Inc.,,MILWAUKEE,MILWAUKEE,,,,,
shayscarewi@gmail.com,Deandre Johnson,(414) 712-5360,SHAYS CARE LLC,Shays Care Llc,,MILWAUKEE,MILWAUKEE,,,,,
starrlightskyinc@gmail.com,Monet Smith,(310) 704-5383,STARR LIGHT SKY INC,Starr Light Sky Inc,,MILWAUKEE,MILWAUKEE,,,,,
Dsbrowninvestmentsllc@gmail.com,Demetrice D Brown,(414) 397-7638,THE COMFORT ZONE HOUSING,Ds Brown Investments Llc Oba The Comfort Zone Hous,,MILWAUKEE,MILWAUKEE,,,,,
admin@weareunitewi.org,Bria Grant,(414) 793-8531,UNITY RECOVERY HOUSING,Unite Wi,,MILWAUKEE,MILWAUKEE,,,,,
genevefelder@yahoo.com,Geneva Felder,(414) 975-2331,WE DO RECOVER LLC,We Do Recover Llc,,MILWAUKEE,MILWAUKEE,,,,,
vision.sonya. lovelife@gmail.com,Sonya Wooden,(262) 212-9174,VISION OF LIFE AND LOVE SUPPORTIVE HOUSING,Vision Of Life And Love Supportive Housing,,OAK CREEK,MILWAUKEE,,,,,
wendynelson169@yahoo.com,Wendy Luann Nelson,(597) 254-2539,NEW LIFE RECOVERY,New Life Recovery,,RIVER FALLS,PIERCE,,,,,
onyxsoberliving@gmail.com,Julie Smith,(715) 245-1275,ONYX 336,Onyx Sober Living,,AMERY,POLK,,,,,
stacy@angelhandsrecoveryhomes.org,Stacy Hilde,(715) 222-7195,ANGEL HANDS RECOVERY HOMES,Hilde Cooperation,,FREDERIC,POLK,,,,,
unitedaddictionpro@icloud.com,Cassondra Lindbom,(763) 290-9897,LIFE JOURNEYS,Life Journeys,,LUCK,POLK,,,,,
,Chrissy Miller,(715) 340-4988,OK BLUFF OXFORD HOUSE,Ok Bluff Oxford House,,PLOVER,PORTAGE,,,,,
Alifeworthlivingcs@gmail.com,Latya Anderson,(608) 436-2418,A LIFE WORTH LIVING SOBER HOME LLC,A Life Worth Living Sober Home Llc,,BELOIT,ROCK,,,,,
donn@sunrisesobcrliving.org,Donn Lahaie,(312) 320-7875,"SUNRISE SOBER LIVING, LTD.","Sunrise Sober Living, Ltd.",,BELOIT,ROCK,,,,,
,William Grann,(608) 756-2592,RED ROAD HOUSE INC,Red Road House Inc,,JANESVILLE,ROCK,,,,,
sarinajane2021@gmail.com,Jane Jechenthal,(608) 208-2585,THE MICAH PROJECT,The Micah Project,,JANESVILLE,ROCK,,,,,
onyxsoberliving@gmail.com,Julie Smith,(715) 245-1275,ONYX 1112,Onyx Sober Living,,NEW RICHMOND,SAINT CROIX,,,,,
onyxsoberliving@gmail.com,Julie Smith,(715) 245-1275,ONYX 323,Onyx Sober Living,,NEW RICHMOND,SAINT CROIX,,,,,
onyxsoberliving@gmail.com,Julie Smith,(715) 245-1275,ONYX 414,Onyx Sober Living,,NEW RICHMOND,SAINT CROIX,,,,,
onyxsoberliving@gmail.com,Julie Smith,(715) 245-1275,ONYX 410,Onyx Sober Living,,SOMERSET,SAINT CROIX,,,,,
onyxsoberliving@gmail.com,Julie Smith,(715) 245-1275,ONYX 412,Onyx Sober Living,,SOMERSET,SAINT CROIX,,,,,
mimhoff@coretreatmentservices.com,Melanie Imhoff,(715) 701-4995,SHAWANO RECOVERY RESIDENCE,Shawano Menoninee Resiliency Coalition,,SHAWANO,SHAWANO,,,,,
trillium@unitypeersupport.org,Todd Vander Galien,(920) 903-9337,TRILLIUM HOUISE,Unity Recovery Services,,SHAWANO,SHAWANO,,,,,
info@exodus-house.org,Cheryl Colwin,(262) 626-4166,WHITE HOUSE,Exodus Transitional Care Facility,,KEWASKUM,SHEBOYGAN,,,,,
director@schh.org,Erik Buchelt,(920) 458-5205,ABODE,Sheboygan County Halfway House,,KOHLER,SHEBOYGAN,,,,,
director@schh.org,Erik Buchelt,(414) 458-5205,MANER,Sheboygan County Halfway House,,KOHLER,SHEBOYGAN,,,,,
sbeattie@pathwaystoabetterlife.com,Susan Beattie,(920) 894-1374,PATHWAYS SOBER LIVING - MEN,Pathways To A Better Life,,SHEBOYGAN,SHEBOYGAN,,,,,
info@exodus-house.org,Cheryl Colwin,(262) 466-4166,HARMONY HOUSE,Exodus Transitional Care Facility,,HARTFORD,WASHINGTON,,,,,
msolheim@eleveteyou.org,Michelle Solheim,(262) 677-2216,SHELDONS PLACE,Elevate,,WEST BEND,WASHINGTON,,,,,
hello@wishoperecovery.com,Kirstie Keith,(844) 947-4673,THE RANCH,Wishope Recovery Center,,NEW BERLIN,WAUKESHA,,,,,
info@denoonrecovery.com,John E Arneson,(262) 933-4242,DENOON RECOVERY HOUSES,Denoon Revovery Center Llc,,WAUKESHA,WAUKESHA,,,,,
,John E Arneson,(262) 983-4242,DENOON-ARCADIAN HOUSE,Denoon Recovery Center Llc,,WAUKESHA,WAUKESHA,,,,,
info@denoonrecovery.com,John E Arneson,(262) 983-4242,DENOON-ARLINGTON HOUSE,Denoon Recovery Center Llc,,WAUKESHA,WAUKESHA,,,,,
info@denoonrecovery.com,Jon E Arneson,(262) 988-4242,DENOON-CHARLES HOUSE,Denoon Recovery Center Llc,,WAUKESHA,WAUKESHA,,,,,
info@denoonrecovery.com,John E Arneson,(262) 933-4242,DENOON-MAPLE HOUSE,Denoon Recovery Llc,,WAUKESHA,WAUKESHA,,,,,
